tpy:CQ11_00010	rRNA	750..866	5S ribosomal RNA
tpy:CQ11_00015	CDS	complement(1000..1638)	hypothetical protein
tpy:CQ11_00020	CDS	1777..2571	hypothetical protein
tpy:CQ11_00025	CDS	2568..3593	HAD family hydrolase
tpy:CQ11_00035	CDS	3748..4584	cytochrome C peroxidase
tpy:CQ11_00040	CDS	4593..5420	inorganic polyphosphate kinase
tpy:CQ11_00045	CDS	5417..7111	DNA recombination protein RecN
tpy:CQ11_00050	CDS	7119..8294	hypothetical protein
tpy:CQ11_00055	CDS	8343..9338	hypothetical protein
tpy:CQ11_00060	CDS	9338..10129	hypothetical protein
tpy:CQ11_00065	CDS	10129..11685	integral membrane protein MviN
tpy:CQ11_00070	CDS	11695..12330	ADP-ribose diphosphatase
tpy:CQ11_00075	CDS	12446..13192	transcriptional regulator
tpy:CQ11_00080	CDS	13192..14631	Fe-S cluster assembly protein SufB
tpy:CQ11_00085	CDS	14631..15764	ABC transporter permease
tpy:CQ11_00090	CDS	15761..16069	Rieske (2Fe-2S) protein
tpy:CQ11_00095	CDS	16103..16855	sufC; cysteine desulfurase
tpy:CQ11_00100	CDS	16848..18161	cysteine desulfurase
tpy:CQ11_00105	CDS	18169..18609	nitrogen fixation protein NifU
tpy:CQ11_00110	CDS	18625..18951	metal-sulfur cluster biosynthetic enzyme
tpy:CQ11_00115	CDS	18948..19310	sulfurtransferase
tpy:CQ11_00120	CDS	19551..21167	ABC transporter
tpy:CQ11_00125	CDS	21177..21653	histidine phosphatase
tpy:CQ11_00130	CDS	complement(21650..22489)	phosphoserine phosphatase
tpy:CQ11_00135	CDS	22753..23070	hypothetical protein
tpy:CQ11_00140	CDS	23091..25025	hypothetical protein
tpy:CQ11_00145	CDS	25030..25674	phosphonate ABC transporter ATPase
tpy:CQ11_00150	CDS	complement(25803..27050)	glucose-1-phosphate adenylyltransferase
tpy:CQ11_00155	CDS	27159..28367	glycosyl transferase family 1
tpy:CQ11_00160	CDS	28438..29220	ABC transporter ATP-binding protein
tpy:CQ11_00165	CDS	29313..29747	membrane protein
tpy:CQ11_00170	CDS	29767..30879	hypothetical protein
tpy:CQ11_00175	CDS	31020..31829	rRNA methyltransferase
tpy:CQ11_00180	CDS	complement(31848..32141)	hypothetical protein
tpy:CQ11_00185	CDS	32320..33786	hypothetical protein
tpy:CQ11_00190	CDS	complement(33769..34239)	RNA methyltransferase
tpy:CQ11_00195	CDS	complement(34281..34814)	PEBP family protein
tpy:CQ11_00200	CDS	34945..35685	hypothetical protein
tpy:CQ11_00205	CDS	35682..37244	hypothetical protein
tpy:CQ11_00210	CDS	37241..40474	DNA polymerase III subunit alpha
tpy:CQ11_00215	CDS	40538..40993	hypothetical protein
tpy:CQ11_00220	gene	complement(41028..41528)	pseudogene
tpy:CQ11_00225	tRNA	41626..41710	tRNA-Leu
tpy:CQ11_00230	CDS	41757..42620	shikimate dehydrogenase
tpy:CQ11_00235	CDS	42651..43379	glutamine amidotransferase
tpy:CQ11_00240	CDS	43382..44608	carboxylate--amine ligase
tpy:CQ11_00245	CDS	44605..45930	hypothetical protein
tpy:CQ11_00250	gene	complement(45795..47183)	pseudogene
tpy:CQ11_00255	CDS	47236..48072	UDP pyrophosphate phosphatase
tpy:CQ11_00260	CDS	48074..48766	hydrolase
tpy:CQ11_00265	CDS	complement(48759..49589)	recombinase RecB
tpy:CQ11_00270	CDS	49640..50740	tRNA (adenine-N1)-methyltransferase
tpy:CQ11_00275	CDS	50737..52401	ATPase AAA
tpy:CQ11_00280	CDS	52398..53975	proteasome protein
tpy:CQ11_00285	CDS	54047..54229	Prokaryotic ubiquitin-like protein Pup
tpy:CQ11_00290	CDS	54226..55596	Pup--protein ligase
tpy:CQ11_00295	CDS	55616..56461	hypothetical protein
tpy:CQ11_00300	CDS	complement(56442..57011)	para-aminobenzoate synthase
tpy:CQ11_00305	CDS	57062..57826	imidazole glycerol phosphate synthase
tpy:CQ11_00310	CDS	57823..58191	phosphoribosyl-AMP cyclohydrolase
tpy:CQ11_00325	CDS	60038..61456	pyruvate kinase
tpy:CQ11_00330	tRNA	61530..61611	tRNA-Leu
tpy:CQ11_00335	CDS	61715..62347	transcriptional regulator
tpy:CQ11_00340	CDS	complement(62349..62714)	aromatic compound degradation protein PaaI
tpy:CQ11_00345	CDS	62785..65484	DNA polymerase I
tpy:CQ11_00350	CDS	65660..67126	rpsA; 30S ribosomal protein S1
tpy:CQ11_00355	CDS	67499..68395	hypothetical protein
tpy:CQ11_00360	CDS	68423..69553	hypothetical protein
tpy:CQ11_00365	CDS	69555..70199	ABC transporter ATP-binding protein
tpy:CQ11_00370	CDS	70242..70799	hypothetical protein
tpy:CQ11_00375	CDS	70793..71650	dephospho-CoA kinase
tpy:CQ11_00380	CDS	71691..73739	excinuclease ABC subunit B
tpy:CQ11_00385	CDS	73977..75026	tellurium resistance protein TerC
tpy:CQ11_00390	CDS	complement(75038..76006)	membrane protein
tpy:CQ11_00395	CDS	complement(75990..76265)	hypothetical protein
tpy:CQ11_00400	CDS	76351..79224	excinuclease ABC subunit A
tpy:CQ11_00405	CDS	79279..81255	excinuclease ABC subunit C
tpy:CQ11_00410	CDS	81260..82213	glmZ(sRNA)-inactivating NTPase
tpy:CQ11_00415	CDS	82213..83154	hypothetical protein
tpy:CQ11_00420	CDS	83208..84188	sporulation protein
tpy:CQ11_00425	CDS	84419..85423	glyceraldehyde-3-phosphate dehydrogenase
