pkt:AT984_00010	rRNA	627..739	5S ribosomal RNA
pkt:AT984_00015	CDS	1091..1369	hypothetical protein
pkt:AT984_00020	CDS	complement(1489..2439)	hypothetical protein
pkt:AT984_00025	CDS	complement(2439..4154)	long-chain fatty acid--CoA ligase
pkt:AT984_00030	gene	complement(4315..4986)	pseudogene
pkt:AT984_00035	CDS	5047..6042	hypothetical protein
pkt:AT984_00040	CDS	complement(6115..7248)	4-hydroxyphenylpyruvate dioxygenase
pkt:AT984_00045	CDS	7435..7917	AsnC family transcriptional regulator
pkt:AT984_00050	CDS	complement(7963..8568)	thiopurine S-methyltransferase
pkt:AT984_00055	CDS	complement(8579..9433)	hypothetical protein
pkt:AT984_00060	CDS	complement(9522..9899)	transcriptional regulator
pkt:AT984_00065	CDS	complement(9931..10182)	hypothetical protein
pkt:AT984_00070	CDS	complement(10249..10470)	hypothetical protein
pkt:AT984_00075	CDS	complement(10734..11330)	hypothetical protein
pkt:AT984_00080	CDS	complement(11485..13560)	fusA; elongation factor G
pkt:AT984_00085	CDS	complement(13786..14271)	hypothetical protein
pkt:AT984_00090	CDS	14443..15963	hypothetical protein
pkt:AT984_00095	CDS	complement(15933..16667)	ABC transporter ATP-binding protein
pkt:AT984_00100	CDS	complement(16681..18516)	hypothetical protein
pkt:AT984_00105	CDS	complement(18523..19560)	ABC transporter permease
pkt:AT984_00110	CDS	19828..20586	3-hydroxybutyryl-CoA dehydratase
pkt:AT984_00115	CDS	complement(21335..21898)	thymidine kinase
pkt:AT984_00120	CDS	22190..22402	hypothetical protein
pkt:AT984_00125	CDS	22631..23776	hypothetical protein
pkt:AT984_00130	CDS	complement(23752..25068)	hypothetical protein
pkt:AT984_00135	CDS	complement(25065..25325)	hypothetical protein
pkt:AT984_00140	CDS	complement(25322..26479)	hypothetical protein
pkt:AT984_00145	CDS	complement(26488..27417)	hydroxyproline-2-epimerase
pkt:AT984_00150	CDS	complement(27503..28174)	GntR family transcriptional regulator
pkt:AT984_00155	CDS	28511..28834	preprotein translocase subunit YajC
pkt:AT984_00160	CDS	29010..30899	preprotein translocase subunit SecD
pkt:AT984_00165	CDS	30924..31958	preprotein translocase subunit SecF
pkt:AT984_00170	CDS	32004..34388	hypothetical protein
pkt:AT984_00175	CDS	complement(34478..34930)	protein smg
pkt:AT984_00180	CDS	complement(34983..36101)	DNA processing protein DprA
pkt:AT984_00185	CDS	complement(36149..37339)	peptidoglycan-binding protein
pkt:AT984_00190	CDS	37617..38135	peptide deformylase
pkt:AT984_00195	CDS	38156..39133	methionyl-tRNA formyltransferase
pkt:AT984_00200	CDS	39244..40089	protease HtpX
pkt:AT984_00205	CDS	40166..40579	hypothetical protein
pkt:AT984_00210	CDS	40744..41526	hypothetical protein
pkt:AT984_00215	CDS	41601..42335	branched-chain amino acid ABC transporter permease
pkt:AT984_00220	CDS	42335..42667	branched-chain amino acid transporter
pkt:AT984_00225	CDS	42714..43919	phosphoglycerate kinase
