ccol:SSU_rRNA-1	rRNA	complement(1..491)	Small Subunit Ribosomal RNA; ssuRNA; SSU ribosomal RNA
ccol:BN865_00005c	CDS	complement(874..2511)	methyl-accepting chemotaxis protein, putative
ccol:BN865_00010c	CDS	complement(2575..3342)	Putative periplasmic ATP/GTP-binding protein
ccol:BN865_00020c	CDS	complement(3311..4534)	membrane protein
ccol:BN865_00030	CDS	4812..5396	FIG000605: protein co-occurring with transport systems (COG1739)
ccol:BN865_00040c	CDS	complement(5428..5805)	FIG00469840: hypothetical protein
ccol:BN865_00050c	CDS	complement(5856..6188)	FIG00469522: hypothetical protein
ccol:BN865_00060c	CDS	complement(6181..7758)	ABC transporter ATP-binding protein uup
ccol:BN865_00070	CDS	7956..8906	membrane protein
ccol:BN865_00080c	CDS	complement(8917..9489)	Putative periplasmic protein
ccol:BN865_00090c	CDS	complement(9552..9926)	Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
ccol:BN865_00100	CDS	10036..10713	SrpA-related protein
ccol:BN865_00110c	CDS	complement(10733..11437)	Putative periplasmic protein
ccol:BN865_00120c	CDS	complement(11729..13267)	Putative ATP/GTP binding protein
ccol:BN865_00130c	CDS	complement(13257..15443)	Putative ATP/GTP binding protein
ccol:BN865_00140c	CDS	complement(15471..16196)	Succinate dehydrogenase iron-sulfur protein
ccol:BN865_00150c	CDS	complement(16189..18180)	Succinate dehydrogenase flavoprotein subunit
ccol:BN865_00160c	CDS	complement(18164..18949)	Fumarate reductase cytochrome b subunit
ccol:BN865_00170c	CDS	complement(19016..19831)	Prolipoprotein diacylglyceryl transferase
ccol:BN865_00180	CDS	19921..20808	Putative lipoprotein
ccol:BN865_00190c	CDS	complement(20883..21674)	Shikimate 5-dehydrogenase I alpha
ccol:BN865_00200c	CDS	complement(21671..22510)	membrane protein
ccol:BN865_00210c	CDS	complement(22523..22996)	FIG00469546: hypothetical protein
ccol:BN865_00220c	CDS	complement(23065..23535)	Serine hydroxymethyltransferase
ccol:BN865_00230c	CDS	complement(23582..24310)	Serine hydroxymethyltransferase
ccol:BN865_00240c	CDS	complement(24307..25815)	Lysyl-tRNA synthetase (class II)
ccol:BN865_00250c	CDS	complement(25815..26285)	Ferric uptake regulation protein FUR
ccol:BN865_00260c	CDS	complement(26289..26849)	Colicin V production protein
ccol:BN865_00270c	CDS	complement(26928..27215)	Aspartyl-tRNA(Asn) amidotransferase subunit C @ Glutamyl-tRNA(Gln) amidotransferase subunit C
ccol:BN865_00280	CDS	27347..27925	FIG00469797: hypothetical protein
ccol:BN865_00290	CDS	28052..28921	FIG01270615: hypothetical protein
ccol:BN865_00300	CDS	28918..29205	FIG00469601: hypothetical protein
ccol:BN865_00310	CDS	29192..29821	Pantothenate kinase type III, CoaX-like
ccol:BN865_00320	CDS	29944..31290	Malate:quinone oxidoreductase
ccol:BN865_00330	CDS	31343..32785	Pyruvate kinase
ccol:BN865_00340	CDS	32873..33499	FIG00470210: hypothetical protein
ccol:BN865_00350c	CDS	complement(33529..35988)	membrane protein
ccol:BN865_00360c	CDS	complement(35998..37233)	Seryl-tRNA synthetase
ccol:BN865_00370c	CDS	complement(37243..38202)	Tryptophanyl-tRNA synthetase
ccol:BN865_00380c	CDS	complement(38199..38693)	Shikimate kinase I
ccol:BN865_00390c	CDS	complement(38683..39879)	GTP-binding protein EngA
ccol:BN865_00400c	CDS	complement(39857..40066)	GTP-binding protein EngA
ccol:BN865_00410	CDS	40182..41114	Putative integral membrane protein
ccol:BN865_00420	CDS	41111..41923	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase
ccol:BN865_00430	CDS	41925..42389	6,7-dimethyl-8-ribityllumazine synthase
ccol:BN865_00440	CDS	42389..42787	Transcription termination protein NusB
ccol:BN865_00450	CDS	42784..43623	Orotidine 5'-phosphate decarboxylase
ccol:BN865_00460	CDS	43620..44399	FIG00469705: hypothetical protein
ccol:BN865_00470	CDS	44462..45355	Putative sulfite oxidase subunit YedY
ccol:BN865_00480	CDS	45355..45903	membrane protein
ccol:BN865_00490c	CDS	complement(45900..47612)	Cell division protein FtsH
ccol:BN865_00500c	CDS	complement(47614..48435)	Putative periplasmic protein
ccol:BN865_00510c	CDS	complement(48445..48915)	Putative lipoprotein
ccol:BN865_00520c	CDS	complement(48926..49417)	FIG001943: hypothetical protein YajQ
ccol:BN865_00530c	CDS	complement(49407..50342)	D-3-phosphoglycerate dehydrogenase
ccol:BN865_00540c	CDS	complement(50346..51515)	Similarity with glutathionylspermidine synthase, group 2
ccol:BN865_00550c	CDS	complement(51525..52133)	Putative flagellar motility protein
ccol:BN865_00560c	CDS	complement(52330..52542)	SSU ribosomal protein S21p
ccol:BN865_00570	CDS	52805..54067	Ferredoxin domain-containing integral membrane protein
ccol:BN865_00580	CDS	54054..54689	Transcriptional repressor of CmeABC operon, CmeR
ccol:BN865_00590	CDS	54881..55900	RND efflux system, membrane fusion protein CmeA
ccol:BN865_00600	CDS	55900..59022	RND efflux system, inner membrane transporter CmeB
ccol:BN865_00610	CDS	59015..60493	RND efflux system, outer membrane lipoprotein CmeC
ccol:BN865_00620c	CDS	complement(60524..60775)	FIG00469484: hypothetical protein
ccol:BN865_00630	CDS	60900..62210	Oxygen-independent coproporphyrinogen III oxidase, putative
ccol:BN865_00640c	CDS	complement(62245..62697)	Protoporphyrinogen IX oxidase, novel form, HemJ
ccol:BN865_00650c	CDS	complement(62694..63152)	Lipoprotein signal peptidase
