arh:AHiyo8_pI65860	gene	pHiyo8-1:<1..492	AHiyo8_pI65860
arh:AHiyo8_pI65870	CDS	pHiyo8-1:569..913	major facilitator protein
arh:AHiyo8_pI65880	CDS	pHiyo8-1:complement(887..1414)	penicillin-Binding protein
arh:AHiyo8_pI65890	CDS	pHiyo8-1:complement(1411..1539)	hypothetical protein
arh:AHiyo8_pI65900	CDS	pHiyo8-1:complement(1542..1916)	penicillin-Binding protein
arh:AHiyo8_pI65910	CDS	pHiyo8-1:complement(1913..2092)	penicillin-Binding protein
arh:AHiyo8_pI65920	CDS	pHiyo8-1:complement(2191..2805)	penicillin-binding protein 1A
arh:AHiyo8_pI65930	CDS	pHiyo8-1:complement(2802..2981)	penicillin-binding protein 1F
arh:AHiyo8_pI65940	CDS	pHiyo8-1:complement(2978..3196)	penicillin-Binding protein
arh:AHiyo8_pI65950	CDS	pHiyo8-1:complement(3434..3649)	prolipoprotein diacylglyceryl transferase
arh:AHiyo8_pI65960	CDS	pHiyo8-1:complement(3595..3945)	prolipoprotein diacylglyceryl transferase
arh:AHiyo8_pI65970	CDS	pHiyo8-1:complement(4368..4853)	drug resistance transporter, EmrB/QacA protein
arh:AHiyo8_pI65980	CDS	pHiyo8-1:complement(4871..5170)	multidrug resistance protein stp
arh:AHiyo8_pI65990	CDS	pHiyo8-1:complement(5417..5875)	uncharacterized MFS-type transporter YvkA
arh:AHiyo8_pI66000	CDS	pHiyo8-1:5916..6239	transcriptional regulator, MarR family protein
arh:AHiyo8_pI66010	CDS	pHiyo8-1:6236..6436	hypothetical protein
arh:AHiyo8_pI66020	CDS	pHiyo8-1:complement(7143..7988)	hypothetical protein
arh:AHiyo8_pI66030	CDS	pHiyo8-1:complement(8117..8632)	hypothetical protein
arh:AHiyo8_pI66040	CDS	pHiyo8-1:8686..8982	uncharacterized HTH-type transcriptional regulator Mb1388c
arh:AHiyo8_pI66050	CDS	pHiyo8-1:9009..9380	hypothetical protein
arh:AHiyo8_pI66060	CDS	pHiyo8-1:9464..9739	atp-Dependent DNA ligase
arh:AHiyo8_pI66070	CDS	pHiyo8-1:10026..10157	hypothetical protein
arh:AHiyo8_pI66080	CDS	pHiyo8-1:10154..10360	hypothetical protein
arh:AHiyo8_pI66090	CDS	pHiyo8-1:10341..10646	hypothetical protein
arh:AHiyo8_pI66100	CDS	pHiyo8-1:complement(10659..10787)	conserved hypothetical protein
arh:AHiyo8_pI66110	CDS	pHiyo8-1:complement(10787..12202)	uncharacterized protein MG148
arh:AHiyo8_pI66120	CDS	pHiyo8-1:complement(12646..13356)	conserved hypothetical protein
arh:AHiyo8_pI66130	CDS	pHiyo8-1:complement(13341..14000)	hypothetical protein
arh:AHiyo8_pI66140	CDS	pHiyo8-1:14236..14541	hypothetical protein
arh:AHiyo8_pI66150	CDS	pHiyo8-1:14553..16262	hypothetical protein
arh:AHiyo8_pI66160	CDS	pHiyo8-1:16313..16684	putative type I restriction enzyme MjaXP M protein
arh:AHiyo8_pI66170	CDS	pHiyo8-1:16687..17097	putative type I restriction enzyme MjaXP M protein
arh:AHiyo8_pI66180	CDS	pHiyo8-1:17356..17919	putative type I restriction enzyme HindVIIP M protein
arh:AHiyo8_pI66190	CDS	pHiyo8-1:17916..19139	putative type-1 restriction enzyme HindVIIP specificity protein
arh:AHiyo8_pI66200	CDS	pHiyo8-1:19222..19953	uncharacterized protein YhcG
arh:AHiyo8_pI66210	CDS	pHiyo8-1:19995..20237	conserved hypothetical protein
arh:AHiyo8_pI66220	CDS	pHiyo8-1:20301..22817	putative type I restriction enzyme HindVIIP R protein
arh:AHiyo8_pI66230	CDS	pHiyo8-1:22781..23470	putative type I restriction enzyme HindVIIP R protein
arh:AHiyo8_pI66240	CDS	pHiyo8-1:complement(23622..24686)	sugar phosphatase YfbT
arh:AHiyo8_pI66250	CDS	pHiyo8-1:complement(24683..24826)	hypothetical protein
arh:AHiyo8_pI66260	CDS	pHiyo8-1:complement(24959..25201)	transcriptional regulator protein
arh:AHiyo8_pI66270	CDS	pHiyo8-1:complement(25144..25737)	acetate operon repressor
arh:AHiyo8_pI66280	CDS	pHiyo8-1:complement(25831..27351)	xylose import ATP-binding protein XylG
arh:AHiyo8_pI66290	CDS	pHiyo8-1:complement(27364..28359)	D-ribose-binding periplasmic protein
arh:AHiyo8_pI66300	CDS	pHiyo8-1:complement(28416..29333)	ribose transport system permease protein RbsC
arh:AHiyo8_pI66310	CDS	pHiyo8-1:complement(29986..30537)	probable polyketide biosynthesis enoyl-CoA hydratase PksH
arh:AHiyo8_pI66320	CDS	pHiyo8-1:complement(30745..30882)	hypothetical protein
arh:AHiyo8_pI66330	CDS	pHiyo8-1:complement(30852..31154)	cupin 2 barrel domain protein
arh:AHiyo8_pI66340	CDS	pHiyo8-1:31261..32202	xylose isomerase domain protein TIM barrel
arh:AHiyo8_pI66350	CDS	pHiyo8-1:32199..32309	hypothetical protein
arh:AHiyo8_pI66360	CDS	pHiyo8-1:32434..33183	2-deoxy-scyllo-inosamine dehydrogenase
arh:AHiyo8_pI66370	CDS	pHiyo8-1:complement(33072..33308)	hypothetical protein
arh:AHiyo8_pI66380	CDS	pHiyo8-1:33360..34205	aldehyde dehydrogenase family 2 member C4
arh:AHiyo8_pI66390	CDS	pHiyo8-1:34202..34810	putative aldehyde dehydrogenase AldA
arh:AHiyo8_pI66400	CDS	pHiyo8-1:35424..36080	inositol 2-dehydrogenase
