chg:AXF12_00010	ncRNA	complement(404..502)	ffs; signal recognition particle sRNA small type
chg:AXF12_00015	CDS	622..1041	nucleoside-diphosphate kinase
chg:AXF12_00020	CDS	1055..1348	RNA-binding protein
chg:AXF12_00025	CDS	1348..1896	GNAT family acetyltransferase
chg:AXF12_00030	CDS	1893..3230	dihydroorotase
chg:AXF12_00035	CDS	3235..3600	hypothetical protein
chg:AXF12_00040	CDS	3613..4305	hypothetical protein
chg:AXF12_00045	CDS	4337..5086	uroporphyrinogen-III synthase
chg:AXF12_00050	CDS	complement(5167..6678)	hypothetical protein
chg:AXF12_00055	CDS	complement(6797..7138)	hypothetical protein
chg:AXF12_00060	CDS	7535..7903	hypothetical protein
chg:AXF12_00065	CDS	8011..8619	hypothetical protein
chg:AXF12_00070	CDS	complement(8717..10147)	asparagine--tRNA ligase
chg:AXF12_00075	CDS	complement(10231..11109)	bile acid:sodium symporter
chg:AXF12_00080	CDS	complement(11134..12048)	hypothetical protein
chg:AXF12_00085	CDS	complement(12144..12749)	hypothetical protein
chg:AXF12_00090	CDS	complement(12756..13547)	CoB--CoM heterodisulfide reductase
chg:AXF12_00095	CDS	complement(13559..13945)	phosphoheptose isomerase
chg:AXF12_00100	CDS	complement(14207..15037)	1,4-dihydroxy-2-naphthoyl-CoA synthase
chg:AXF12_00105	CDS	complement(15082..15495)	hypothetical protein
chg:AXF12_00110	CDS	complement(15677..15973)	hypothetical protein
chg:AXF12_00115	CDS	complement(15958..16215)	hypothetical protein
chg:AXF12_00120	CDS	complement(16343..16741)	hypothetical protein
chg:AXF12_00125	CDS	complement(16925..17572)	fructose-6-phosphate aldolase
chg:AXF12_00130	CDS	complement(17575..17943)	four helix bundle protein
chg:AXF12_00135	CDS	complement(18000..18800)	short-chain dehydrogenase
chg:AXF12_00140	CDS	19378..21336	gyrB; DNA topoisomerase IV subunit B
chg:AXF12_00145	CDS	21426..21671	hypothetical protein
chg:AXF12_00150	CDS	21664..21945	addiction module toxin YoeB
chg:AXF12_00155	CDS	22032..23288	hypothetical protein
chg:AXF12_00160	CDS	23527..24783	glutamyl-tRNA reductase
chg:AXF12_00165	CDS	24822..25742	porphobilinogen deaminase
chg:AXF12_00170	CDS	25848..27491	peptidase S8
chg:AXF12_00175	CDS	complement(27591..28205)	superoxide dismutase
chg:AXF12_00180	CDS	28485..30599	peptidylprolyl isomerase
chg:AXF12_00185	CDS	30751..31392	pyridoxamine 5'-phosphate oxidase
chg:AXF12_00190	CDS	31403..32134	hypothetical protein
chg:AXF12_00195	CDS	32136..33299	hypothetical protein
chg:AXF12_00200	CDS	complement(33561..34250)	hypothetical protein
chg:AXF12_00205	CDS	complement(34407..34811)	hypothetical protein
chg:AXF12_00210	CDS	complement(34874..36334)	histidine kinase
chg:AXF12_00215	CDS	complement(36336..36692)	sporulation protein
