ctrn:L3404_pLN_1	gene	pL3404:join(165..227,227..997)	pseudogene
ctrn:L3404_pLN_2	CDS	pL3404:complement(1048..2040)	putative virulence plasmid integrase
ctrn:L3404_pLN_3	CDS	pL3404:2139..3494	putative helicase, DnaB family
ctrn:L3404_pLN_4	CDS	pL3404:3488..4552	conserved hypothetical virulence plasmid protein
ctrn:L3404_pLN_5	CDS	pL3404:4614..5408	conserved hypothetical virulence plasmid protein
ctrn:L3404_pLN_6	CDS	pL3404:5478..5786	conserved hypothetical virulence plasmid protein
ctrn:L3404_pLN_7	CDS	pL3404:5814..6608	putative plasmid partitioning protein, ParA family
ctrn:L3404_pLN_8	CDS	pL3404:6605..7348	conserved hypothetical virulence plasmid protein
ctrn:L3404_00001	CDS	1..1773	hypothetical protein
ctrn:L3404_00002	CDS	complement(1918..2190)	hypothetical protein
ctrn:L3404_00003	CDS	2391..2693	aspartyl/glutamyl-tRNA amidotransferase subunit C
ctrn:L3404_00004	CDS	2705..4180	aspartyl/glutamyl-tRNA amidotransferase subunit A
ctrn:L3404_00005	CDS	4182..5648	aspartyl/glutamyl-tRNA amidotransferase subunit B
ctrn:L3404_00006	CDS	complement(5747..6838)	hypothetical protein
ctrn:L3404_00007	CDS	complement(6966..7535)	hypothetical protein
ctrn:L3404_00008	CDS	7849..8799	hypothetical protein
ctrn:L3404_00009	CDS	complement(8815..9717)	ribonuclease HIII
ctrn:L3404_00010	CDS	9973..10404	hypothetical protein
ctrn:L3404_00011	CDS	complement(10391..11758)	lipid A biosynthesis lauroyl acyltransferase
ctrn:L3404_00012	CDS	complement(11890..13146)	hypothetical protein
ctrn:L3404_00013	CDS	complement(13143..13835)	DNA integrity scanning protein DisA
ctrn:L3404_00014	CDS	14212..15552	cytochrome bd-II oxidase subunit 1
ctrn:L3404_00015	CDS	15564..16625	cytochrome bd-II oxidase subunit 2
ctrn:L3404_00016	CDS	complement(16723..18027)	hypothetical protein
ctrn:L3404_00017	CDS	18236..18964	hypothetical protein
ctrn:L3404_00018	CDS	19129..20451	putative carboxyl-terminal-processing protease, deltaproteobacterial
ctrn:L3404_00019	CDS	complement(20513..21016)	hypothetical protein
ctrn:L3404_00020	tmRNA	complement(21266..21682)	ssrA; transfer-messenger RNA, SsrA
ctrn:L3404_00021	CDS	22032..25142	isoleucyl-tRNA synthetase
ctrn:L3404_00022	CDS	complement(25201..27072)	signal peptidase I
ctrn:L3404_00023	CDS	complement(27273..28016)	hypothetical protein
ctrn:L3404_00024	CDS	28092..28418	50S ribosomal protein L31 type B
ctrn:L3404_00025	CDS	28606..29685	peptide chain release factor 1
ctrn:L3404_00026	CDS	29669..30541	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase
ctrn:L3404_00027	CDS	30538..31884	signal recognition particle protein
ctrn:L3404_00028	CDS	31875..32225	30S ribosomal protein S16
ctrn:L3404_00029	CDS	32241..33299	tRNA (guanine-N(1)-)-methyltransferase/unknown domain fusion protein
ctrn:L3404_00030	CDS	33325..33690	50S ribosomal protein L19
ctrn:L3404_00031	CDS	33754..34407	ribonuclease HII
ctrn:L3404_00032	CDS	34398..35015	guanylate kinase
ctrn:L3404_00033	CDS	35008..35310	hypothetical protein
ctrn:L3404_00034	CDS	35310..36962	methionyl-tRNA synthetase
ctrn:L3404_00035	CDS	complement(37101..39341)	exonuclease V subunit alpha
ctrn:L3404_00036	CDS	complement(39589..40614)	putative permease, DMT superfamily
ctrn:L3404_00037	CDS	40952..41725	hypothetical protein
ctrn:L3404_00038	CDS	complement(41690..42814)	hypothetical protein
ctrn:L3404_00039	tRNA	complement(43256..43330)	tRNA-Asn
ctrn:L3404_00040	CDS	complement(43393..43737)	hypothetical protein
ctrn:L3404_00041	CDS	complement(43759..44331)	deoxycytidine triphosphate deaminase
ctrn:L3404_00042	CDS	44612..45616	Holliday junction DNA helicase RuvB
ctrn:L3404_00043	CDS	45618..46430	SpoIID/LytB domain protein
ctrn:L3404_00044	CDS	complement(46492..48492)	glycogen debranching enzyme
ctrn:L3404_00045	CDS	complement(48612..49115)	Tir chaperone protein (CesT)
ctrn:L3404_00046	CDS	49581..50054	single-stranded DNA-binding protein
ctrn:L3404_00047	CDS	50397..51896	multifunctional aminopeptidase A
ctrn:L3404_00048	CDS	52041..52706	Histone H1-like nucleoprotein HC2
ctrn:L3404_00049	CDS	52861..53805	hypothetical protein
ctrn:L3404_00050	CDS	53900..54613	SAM-dependent 16S ribosomal RNA ribose 2'-O-methyltransferase
ctrn:L3404_00051	CDS	54704..56176	hypothetical protein
ctrn:L3404_00052	CDS	complement(56235..57914)	hypothetical protein
ctrn:L3404_00053	CDS	complement(57950..59647)	hypothetical protein
ctrn:L3404_00054	CDS	complement(59709..60839)	coproporphyrinogen III oxidase
ctrn:L3404_00055	CDS	complement(60829..61275)	hypothetical protein
ctrn:L3404_00056	CDS	61607..64318	2-oxoglutarate dehydrogenase E1 component
ctrn:L3404_00057	CDS	64322..65419	dihydrolipoamide succinyltransferase
ctrn:L3404_00058	CDS	complement(65448..66179)	hypothetical protein
ctrn:L3404_00059	CDS	complement(66188..67996)	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
ctrn:L3404_00060	CDS	complement(68148..69239)	hypothetical protein
ctrn:L3404_00061	CDS	complement(69319..69594)	2Fe-2S iron-sulfur cluster binding domain protein
ctrn:L3404_00062	tRNA	complement(69631..69707)	tRNA-Pro
ctrn:L3404_00063	CDS	69776..71593	type III secretion system protein
ctrn:L3404_00064	CDS	71701..72462	RNA polymerase sigma factor sigma-28
ctrn:L3404_00065	CDS	72621..73859	tyrosyl-tRNA synthetase
ctrn:L3404_00066	CDS	73869..75311	6-phosphogluconate dehydrogenase
ctrn:L3404_00067	CDS	complement(75372..77180)	GTP-binding protein LepA
ctrn:L3404_00068	CDS	complement(77366..78952)	ADP/ATP carrier protein family protein
ctrn:L3404_00069	CDS	complement(79303..79779)	hypothetical protein
ctrn:L3404_00070	CDS	80440..81420	high-affinity zinc transporter periplasmic component
ctrn:L3404_00071	CDS	81374..82192	manganese/iron transporter ATP-binding protein
ctrn:L3404_00072	CDS	82193..83548	high-affinity zinc transporter membrane component
ctrn:L3404_00073	CDS	83538..84494	anchored repeat-type ABC transporter, permease subunit
ctrn:L3404_00074	CDS	84521..85660	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ctrn:L3404_00075	CDS	85856..87715	zinc metallopeptidase RseP
ctrn:L3404_00076	CDS	complement(87662..88639)	hypothetical protein
ctrn:L3404_00077	CDS	complement(88797..89894)	recombination protein F
ctrn:L3404_00078	CDS	complement(89894..90994)	DNA polymerase III subunit beta
ctrn:L3404_00079	CDS	91274..91729	SsrA-binding protein
ctrn:L3404_00080	CDS	complement(91707..92561)	thiamine biosynthesis lipoprotein ApbE
ctrn:L3404_00081	CDS	complement(92627..93490)	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase
ctrn:L3404_00082	CDS	94328..94621	hypothetical protein
ctrn:L3404_00083	CDS	94984..96666	hypothetical protein
ctrn:L3404_00084	CDS	96663..97145	hypothetical protein
ctrn:L3404_00085	CDS	complement(97159..98319)	nuclease NucT
ctrn:L3404_00086	CDS	complement(98416..100155)	3-octaprenyl-4-hydroxybenzoate decarboxylase
ctrn:L3404_00087	CDS	complement(100275..100544)	50S ribosomal protein L28
ctrn:L3404_00088	CDS	complement(100693..102276)	4-alpha-glucanotransferase
ctrn:L3404_00089	CDS	complement(102280..102720)	chaperone protein SicP
ctrn:L3404_00090	CDS	complement(102758..104023)	type III secretion system regulator InvE
ctrn:L3404_00091	CDS	complement(104041..106167)	type III secretion system protein InvA
ctrn:L3404_00092	CDS	complement(106167..107249)	type III secretion system protein
ctrn:L3404_00093	CDS	107512..108606	GTP-binding protein YchF
ctrn:L3404_00094	CDS	complement(108615..109538)	bifunctional riboflavin kinase/FMN adenylyltransferase
ctrn:L3404_00095	CDS	complement(109477..110202)	tRNA pseudouridine synthase B
ctrn:L3404_00096	CDS	complement(110240..110611)	ribosome-binding factor A
ctrn:L3404_00097	CDS	complement(110618..113308)	translation initiation factor IF-2
ctrn:L3404_00098	CDS	complement(113265..114569)	transcription elongation factor NusA
ctrn:L3404_00099	CDS	complement(114687..116396)	30S ribosomal protein S1
ctrn:L3404_00100	CDS	116641..117696	thioredoxin reductase
ctrn:L3404_00101	CDS	117702..118061	4'-phosphopantetheinyl transferase
ctrn:L3404_00102	CDS	complement(118062..118514)	hypothetical protein
ctrn:L3404_00103	CDS	118659..119120	flagellar biosynthetic protein FliO
ctrn:L3404_00104	CDS	119155..120051	phosphoglycolate phosphatase
ctrn:L3404_00105	CDS	complement(120041..120937)	enoyl-(acyl carrier protein) reductase
ctrn:L3404_00106	CDS	121249..123219	hypothetical protein
ctrn:L3404_00107	CDS	complement(123419..124243)	23S rRNA pseudouridylate synthase C
ctrn:L3404_00108	CDS	124290..125396	adenine DNA glycosylase
ctrn:L3404_00109	CDS	125450..126205	metal-binding protein
ctrn:L3404_00110	CDS	complement(126218..127006)	hypothetical protein
ctrn:L3404_00111	CDS	complement(127135..128769)	chaperonin GroEL
ctrn:L3404_00112	CDS	complement(128808..129116)	co-chaperonin GroES
ctrn:L3404_00113	CDS	complement(129136..129264)	hypothetical protein
ctrn:L3404_00114	CDS	complement(129288..131114)	oligoendopeptidase F
ctrn:L3404_00115	CDS	131416..134019	protein disaggregation chaperone
ctrn:L3404_00116	CDS	134027..135505	hypothetical protein
ctrn:L3404_00117	CDS	135733..136173	hypothetical protein
ctrn:L3404_00118	CDS	136240..136638	hypothetical protein
ctrn:L3404_00119	CDS	136655..136957	hypothetical protein
ctrn:L3404_00120	CDS	137044..137547	hypothetical protein
ctrn:L3404_00121	CDS	complement(137713..138534)	IncA protein
ctrn:L3404_00122	CDS	complement(138580..138855)	hypothetical protein
ctrn:L3404_00123	CDS	138954..139640	ribulose-phosphate 3-epimerase
ctrn:L3404_00124	CDS	139627..140184	elongation factor P
ctrn:L3404_00125	CDS	140197..140691	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
ctrn:L3404_00126	CDS	140695..142068	acetyl-CoA carboxylase biotin carboxylase subunit
ctrn:L3404_00127	CDS	142291..142743	50S ribosomal protein L13
ctrn:L3404_00128	CDS	142769..143158	30S ribosomal protein S9
ctrn:L3404_00129	CDS	complement(143204..144055)	outer membrane lipoprotein
ctrn:L3404_00130	CDS	complement(144151..144888)	adenylate kinase
ctrn:L3404_00131	CDS	145095..145739	amino acid ABC transporter permease
ctrn:L3404_00132	CDS	145736..146437	putative amino-acid ABC transporter ATP-binding protein YecC
ctrn:L3404_00133	CDS	complement(146440..149856)	hypothetical protein
ctrn:L3404_00134	CDS	complement(149853..151130)	hypothetical protein
ctrn:L3404_00135	CDS	complement(151208..152011)	hypothetical protein
ctrn:L3404_00136	CDS	152468..152881	hypothetical protein
ctrn:L3404_00137	CDS	153005..154021	hypothetical protein
ctrn:L3404_00138	CDS	154072..154830	putative esterase
ctrn:L3404_00139	CDS	154849..155694	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein
ctrn:L3404_00140	CDS	155672..156619	Membrane dipeptidase (Peptidase family M19)
ctrn:L3404_00141	CDS	complement(156616..157896)	putative ABC transporter periplasmic-binding protein
ctrn:L3404_00142	CDS	158072..158758	hypothetical protein
ctrn:L3404_00143	CDS	158942..159388	hypothetical protein
ctrn:L3404_00144	tRNA	159456..159531	tRNA-Thr
ctrn:L3404_00145	tRNA	159540..159622	tRNA-Tyr
ctrn:L3404_00146	CDS	159788..160645	hypothetical protein
ctrn:L3404_00147	CDS	160647..161489	hypothetical protein
ctrn:L3404_00148	CDS	161489..162355	hypothetical protein
ctrn:L3404_00149	CDS	162541..164385	putative ATPase
ctrn:L3404_00150	CDS	164396..166387	NAD-dependent DNA ligase LigA
ctrn:L3404_00151	CDS	166485..170834	hypothetical protein
ctrn:L3404_00152	CDS	complement(170897..172420)	FAD-dependent oxidoreductase
ctrn:L3404_00153	CDS	complement(172620..173567)	Alpha/beta hydrolase family protein
ctrn:L3404_00154	CDS	173966..174124	50S ribosomal protein L33
ctrn:L3404_00155	CDS	174160..175671	outer membrane-specific lipoprotein transporter subunit LolE
ctrn:L3404_00156	CDS	175676..176353	lipoprotein transporter ATP-binding subunit
ctrn:L3404_00157	CDS	complement(176504..178936)	MAC/Perforin domain protein
ctrn:L3404_00158	CDS	complement(179122..179790)	nuclease NucT
ctrn:L3404_00159	CDS	complement(179766..180083)	hypothetical protein
ctrn:L3404_00160	CDS	complement(180622..181560)	nuclease NucT
ctrn:L3404_00161	CDS	complement(182074..183279)	nuclease NucT
ctrn:L3404_00162	CDS	complement(183402..184043)	nuclease NucT
ctrn:L3404_00163	CDS	complement(184623..184904)	hypothetical protein
ctrn:L3404_00164	CDS	complement(185164..185634)	hypothetical protein
ctrn:L3404_00165	CDS	complement(185627..186373)	hypothetical protein
ctrn:L3404_00166	CDS	complement(186506..186754)	hypothetical protein
